No in list,File (new name),Name of Differentiation,time of differentiation [h],replicate,differentiation protocol,cell line,compound,study,treatment_start [h],treatment_end [h],compound_concentration [M]
1,UKN1timecourse_d-3_Exp1_(HG-U133_Plus_2),D14_02MK,-72,A,UKN1,H9-hESC,untreated,timecourse,,,
2,UKN1timecourse_0h_Exp1_(HG-U133_Plus_2),D14_02MK,0,A,UKN1,H9-hESC,untreated,timecourse,,,
3,UKN1timecourse_3h_Exp1_(HG-U133_Plus_2),D14_02MK,3,A,UKN1,H9-hESC,untreated,timecourse,,,
4,UKN1timecourse_6h_Exp1_(HG-U133_Plus_2),D14_02MK,6,A,UKN1,H9-hESC,untreated,timecourse,,,
5,UKN1timecourse_10h_Exp1_(HG-U133_Plus_2),D14_02MK,10,A,UKN1,H9-hESC,untreated,timecourse,,,
6,UKN1timecourse_16h_Exp1_(HG-U133_Plus_2),D14_02MK,16,A,UKN1,H9-hESC,untreated,timecourse,,,
7,UKN1timecourse_24h_Exp1_(HG-U133_Plus_2),D14_02MK,24,A,UKN1,H9-hESC,untreated,timecourse,,,
8,UKN1timecourse_36h_Exp1_(HG-U133_Plus_2),D14_02MK,36,A,UKN1,H9-hESC,untreated,timecourse,,,
9,UKN1timecourse_48h_Exp1_(HG-U133_Plus_2),D14_02MK,48,A,UKN1,H9-hESC,untreated,timecourse,,,
10,UKN1timecourse_60h_Exp1_(HG-U133_Plus_2),D14_02MK,60,A,UKN1,H9-hESC,untreated,timecourse,,,
11,UKN1timecourse_72h_Exp1_(HG-U133_Plus_2),D14_02MK,72,A,UKN1,H9-hESC,untreated,timecourse,,,
12,UKN1timecourse_96h_Exp1_(HG-U133_Plus_2),D14_02MK,96,A,UKN1,H9-hESC,untreated,timecourse,,,
13,UKN1timecourse_120h_Exp1_(HG-U133_Plus_2),D14_02MK,120,A,UKN1,H9-hESC,untreated,timecourse,,,
14,UKN1timecourse_144h_Exp1_(HG-U133_Plus_2),D14_02MK,144,A,UKN1,H9-hESC,untreated,timecourse,,,
15,UKN1timecourse_d-3_Exp2_(HG-U133_Plus_2),D14_03MK,-72,B,UKN1,H9-hESC,untreated,timecourse,,,
